molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4074442,CCOC(=O)[C@H](CC)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,intermediate,1585.0,560.5040000000002,1.2859799999999997,4.0,13.0
CHEMBL4093434,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,636.0,546.4770000000002,0.89588,4.0,13.0
CHEMBL4065821,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCC1,active,88.0,572.515,1.4284799999999989,4.0,13.0
CHEMBL4064050,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,367.0,560.5040000000002,1.2843799999999999,4.0,13.0
CHEMBL4091811,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC(C)(C)C,intermediate,3790.0,574.5310000000001,1.6744799999999989,4.0,13.0
CHEMBL4072649,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,active,160.0,586.5419999999999,1.8185799999999988,4.0,13.0
CHEMBL4099554,CCC(CC)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,845.0,588.5580000000002,2.064579999999999,4.0,13.0
CHEMBL4083126,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OCC(C)(C)C,active,92.0,588.558,1.9220799999999987,4.0,13.0
CHEMBL4061258,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,53.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090912,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,518.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4069927,CCOC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OCC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,intermediate,9102.0,569.5120000000005,-0.6419199999999952,5.0,14.0
CHEMBL4098638,CCC(CC)OC(=O)[C@H](C)NP(=O)(N[C@@H](C)C(=O)OC(CC)CC)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O,active,678.0,653.6740000000003,1.6954800000000005,5.0,14.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,20000.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4068210,CCC(CC)COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,100.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,86.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4064050,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,297.0,560.5040000000002,1.2843799999999999,4.0,13.0
CHEMBL4072649,C[C@H](NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCC1,active,120.0,586.5419999999999,1.8185799999999988,4.0,13.0
CHEMBL4061258,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,111.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4090912,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,729.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4084735,CCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,270.0,622.5750000000004,2.1186799999999986,4.0,13.0
