MW,LogP,NumHDonors,NumHAcceptors
391.3860000000002,5.388400000000005,0.0,2.0
391.3860000000002,5.388400000000005,0.0,2.0
391.3860000000002,5.388400000000005,0.0,2.0
336.52300000000014,4.390020000000004,0.0,2.0
356.94100000000014,4.735000000000004,0.0,2.0
232.37099999999995,2.1690000000000005,1.0,2.0
279.27099999999996,0.11089999999999989,4.0,6.0
262.269,-0.7913000000000003,4.0,7.0
261.281,-0.18629999999999997,4.0,6.0
374.40000000000015,3.894400000000002,2.0,5.0
355.3970000000001,4.041900000000002,1.0,4.0
339.35800000000006,3.7488800000000007,2.0,4.0
157.10399999999998,-0.5798000000000002,2.0,4.0
405.969,6.215000000000006,0.0,2.0
632.4640000000002,5.111600000000005,2.0,8.0
279.3,-1.862899999999999,6.0,7.0
